filename,ground_truth,predicted
vid_real_human_self_008.mp4,REAL,REAL
vid_real_human_self_013.mp4,REAL,REAL
vid_real_nonhuman_self_001.mp4,REAL,REAL
vid_real_nonhuman_self_002.mp4,REAL,REAL
vid_real_nonhuman_self_003.mp4,REAL,REAL
vid_real_human_youtube_004.mp4,REAL,REAL
vid_real_human_youtube_005.mp4,REAL,REAL
vid_real_human_youtube_006.mp4,REAL,REAL
vid_real_human_youtube_007.mp4,REAL,REAL
vid_real_human_youtube_010.mp4,REAL,REAL
vid_real_human_youtube_011.mp4,REAL,REAL
vid_real_human_youtube_012.mp4,REAL,REAL
vid_real_human_youtube_014.mp4,REAL,REAL
vid_real_human_youtube_015.mp4,REAL,REAL
vid_real_nonhuman_youtube_009.mp4,REAL,REAL
vid_fake_human_gemini_001.mp4,FAKE,REAL
vid_fake_human_gemini_002.mp4,FAKE,REAL
vid_fake_human_gemini_007.mp4,FAKE,FAKE
vid_fake_human_gemini_008.mp4,FAKE,REAL
vid_fake_human_gemini_009.mp4,FAKE,REAL
vid_fake_human_gemini_010.mp4,FAKE,REAL
vid_fake_human_gemini_013.mp4,FAKE,REAL
vid_fake_human_gemini_014.mp4,FAKE,REAL
vid_fake_nonhuman_gemini_003.mp4,FAKE,FAKE
vid_fake_nonhuman_gemini_004.mp4,FAKE,REAL
vid_fake_nonhuman_gemini_005.mp4,FAKE,FAKE
vid_fake_nonhuman_gemini_006.mp4,FAKE,REAL
vid_fake_nonhuman_gemini_011.mp4,FAKE,FAKE
vid_fake_nonhuman_gemini_015.mp4,FAKE,FAKE
vid_fake_nonhuman_invideo_012.mp4,FAKE,REAL
