id,filename,label,content_type,source_type,platform

# ===== REAL =====
vid_001,vid_real_human_self_008.mp4,REAL,human,real,self
vid_002,vid_real_human_self_013.mp4,REAL,human,real,self
vid_003,vid_real_nonhuman_self_001.mp4,REAL,nonhuman,real,self
vid_004,vid_real_nonhuman_self_002.mp4,REAL,nonhuman,real,self
vid_005,vid_real_nonhuman_self_003.mp4,REAL,nonhuman,real,self

vid_006,vid_real_human_youtube_004.mp4,REAL,human,real,youtube
vid_007,vid_real_human_youtube_005.mp4,REAL,human,real,youtube
vid_008,vid_real_human_youtube_006.mp4,REAL,human,real,youtube
vid_009,vid_real_human_youtube_007.mp4,REAL,human,real,youtube
vid_010,vid_real_human_youtube_010.mp4,REAL,human,real,youtube
vid_011,vid_real_human_youtube_011.mp4,REAL,human,real,youtube
vid_012,vid_real_human_youtube_012.mp4,REAL,human,real,youtube
vid_013,vid_real_human_youtube_014.mp4,REAL,human,real,youtube
vid_014,vid_real_human_youtube_015.mp4,REAL,human,real,youtube

vid_015,vid_real_nonhuman_youtube_009.mp4,REAL,nonhuman,real,youtube

# ===== FAKE =====
vid_016,vid_fake_human_gemini_001.mp4,FAKE,human,ai_generated,gemini
vid_017,vid_fake_human_gemini_002.mp4,FAKE,human,ai_generated,gemini
vid_018,vid_fake_human_gemini_007.mp4,FAKE,human,ai_generated,gemini
vid_019,vid_fake_human_gemini_008.mp4,FAKE,human,ai_generated,gemini
vid_020,vid_fake_human_gemini_009.mp4,FAKE,human,ai_generated,gemini
vid_021,vid_fake_human_gemini_010.mp4,FAKE,human,ai_generated,gemini
vid_022,vid_fake_human_gemini_013.mp4,FAKE,human,ai_generated,gemini
vid_023,vid_fake_human_gemini_014.mp4,FAKE,human,ai_generated,gemini

vid_024,vid_fake_nonhuman_gemini_003.mp4,FAKE,nonhuman,ai_generated,gemini
vid_025,vid_fake_nonhuman_gemini_004.mp4,FAKE,nonhuman,ai_generated,gemini
vid_026,vid_fake_nonhuman_gemini_005.mp4,FAKE,nonhuman,ai_generated,gemini
vid_027,vid_fake_nonhuman_gemini_006.mp4,FAKE,nonhuman,ai_generated,gemini
vid_028,vid_fake_nonhuman_gemini_011.mp4,FAKE,nonhuman,ai_generated,gemini
vid_029,vid_fake_nonhuman_gemini_015.mp4,FAKE,nonhuman,ai_generated,gemini

vid_030,vid_fake_nonhuman_invideo_012.mp4,FAKE,nonhuman,ai_generated,invideo
