id,input,ground_truth,predicted,correct,confidence,genre,model,grounded,summary,error,seconds
vid_001,/Users/muditagrawal/Projects/Deepfake-and-Fake-News-Detector/data/evaluation/videos/real/vid_real_self_human_008.mp4,REAL,REAL,1,0.85,personal_content,gemini-3.5-flash-lite,False,This video depicts a young man speaking to the camera in an office setting about project testing. The video shows no signs of artificial generation or digital manipulation.,,17.1
vid_002,/Users/muditagrawal/Projects/Deepfake-and-Fake-News-Detector/data/evaluation/videos/real/vid_real_self_human_013.mp4,REAL,REAL,1,0.85,personal_content,gemini-3.5-flash-lite,False,"This video shows a student introducing himself and discussing his academic and project background in AI/ML, appearing entirely authentic.",,16.5
vid_003,/Users/muditagrawal/Projects/Deepfake-and-Fake-News-Detector/data/evaluation/videos/real/vid_real_nonhuman_self_001.mp4,REAL,REAL,1,0.85,personal_content,gemini-3.5-flash-lite,False,"This short video shows a standard, authentic mobile phone recording of street traffic and trees in New Delhi, India.",,17.9
vid_004,/Users/muditagrawal/Projects/Deepfake-and-Fake-News-Detector/data/evaluation/videos/real/vid_real_nonhuman_self_002.mp4,REAL,REAL,1,0.85,personal_content,gemini-3.5-flash-lite,False,"This video shows real silver pheasants inside an enclosure at a zoo or bird park, with natural animal movements and consistent physical lighting.",,20.3
vid_005,/Users/muditagrawal/Projects/Deepfake-and-Fake-News-Detector/data/evaluation/videos/real/vid_real_nonhuman_self_003.mp4,REAL,REAL,1,0.85,personal_content,gemini-3.5-flash-lite,False,"This video shows an elephant eating grass in an enclosure at a zoo or wildlife park, captured naturally on a mobile device.",,23.5
vid_006,/Users/muditagrawal/Projects/Deepfake-and-Fake-News-Detector/data/evaluation/videos/real/vid_real_youtube_human_004.mp4,REAL,REAL,1,0.95,entertainment,gemini-3.5-flash-lite,False,"This video is the official movie song ""Jiyo Re Baahubali"" from the blockbuster Indian film Baahubali 2: The Conclusion, featuring professional actors and high-budget cinematic production.",,67.3
vid_007,/Users/muditagrawal/Projects/Deepfake-and-Fake-News-Detector/data/evaluation/videos/real/vid_real_youtube_human_005.mp4,REAL,REAL,1,0.95,entertainment,gemini-3.5-flash-lite,False,This video is the official Bollywood music video for the hit song 'Kala Chashma' from the 2016 film 'Baar Baar Dekho'.,,37.9
vid_008,/Users/muditagrawal/Projects/Deepfake-and-Fake-News-Detector/data/evaluation/videos/real/vid_real_youtube_human_006.mp4,REAL,REAL,1,0.85,entertainment,gemini-3.5-flash-lite,False,"This video is a compilation of viral clips with comedic voiceover commentary in Arabic featuring two hosts reacting on screen, resembling popular reaction channel content rather than fabricated news or deepfakes.",,66.7
vid_009,/Users/muditagrawal/Projects/Deepfake-and-Fake-News-Detector/data/evaluation/videos/real/vid_real_youtube_human_007.mp4,REAL,REAL,1,0.85,hard_news,gemini-3.5-flash-lite,False,"This video shows an authentic interview with Anil Jain, Chairman of the National Dam Safety Authority (NDSA), discussing dam safety policies and practices in India.",,40.3
vid_010,/Users/muditagrawal/Projects/Deepfake-and-Fake-News-Detector/data/evaluation/videos/real/vid_real_youtube_human_010.mp4,REAL,REAL,1,0.85,personal_content,gemini-3.5-flash-lite,False,"This video features a creator discussing a 30-day digital detox challenge using a physical pocket notebook. The video displays natural lighting, consistent human motion, and authentic camera angles typical of genuine creator content.",,69.0
vid_011,/Users/muditagrawal/Projects/Deepfake-and-Fake-News-Detector/data/evaluation/videos/real/vid_real_youtube_human_011.mp4,REAL,REAL,1,0.85,advertorial,gemini-3.5-flash-lite,False,"This video is an authentic promotional clip for Beast Games Season 2 on Amazon Prime Video, featuring host MrBeast and a contestant playing a floor memory game.",,29.6
